RabA,RabB,RabC,RabD,RabE,area,memERGIC,memGolgiMedial,memL,memLS,memS,memTGN,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
1807044.09,215513.26,15393.8,15393.8,15393.8,2068738.76,7039.99,172.91,8033.0,8033.0,2878.75,2878.75,0.0,1.0,391.73,196257.0,76879.99,0.0,1.989610987E7,
15393.8,92362.82,1569539.69,30787.61,15393.8,1723477.73,236.65,5708.49,0.0,0.0,1591.53,1591.53,0.02,0.0,191.95,0.0,37671.6,1.0,1.685150299E7,
1836732.15,200119.45,30787.61,15393.8,15393.8,2098426.81,7039.99,172.91,8033.0,8033.0,2857.69,2857.69,0.0,1.0,389.14,196257.0,76370.75,0.0,2.028709186E7,
15393.8,15393.8,1507964.47,15393.8,15393.8,1569539.69,236.65,5594.83,0.0,0.0,1532.65,1532.65,0.0,0.0,185.62,0.0,36429.26,1.0,1.550454514E7,
1796048.52,153938.04,46181.41,15393.8,15393.8,2026955.58,7039.99,172.91,8033.0,8033.0,2815.19,2815.19,0.0,1.0,383.9,196257.0,75343.25,0.0,1.963447892E7,
15393.8,15393.8,1384814.04,15393.8,15393.8,1446389.26,236.65,5476.36,0.0,0.0,1501.52,1501.52,0.0,0.0,182.29,0.0,35776.41,1.0,1.442697886E7,
1807044.09,123150.43,15393.8,15393.8,15393.8,1976375.94,6806.13,172.91,8033.0,8033.0,2709.98,2709.98,0.0,1.0,370.9,196257.0,72791.21,0.0,1.915405266E7,
15393.8,92362.82,1723477.73,15393.8,15393.8,1862021.97,236.65,6576.73,0.0,0.0,1684.22,1684.22,0.16,0.0,202.91,0.0,39822.43,1.0,1.806376505E7,
1880714.44,123150.43,30787.61,15393.8,15393.8,2065440.09,7039.99,172.91,8033.0,8033.0,2751.96,2751.96,0.0,1.0,376.07,196257.0,73805.89,0.0,1.986370918E7,
15393.8,15393.8,1646508.71,15393.8,15393.8,1708083.93,236.65,6458.17,0.0,0.0,1598.87,1598.87,0.01,0.0,193.66,0.0,38006.17,1.0,1.67168072E7,
1819139.23,46181.41,15393.8,15393.8,15393.8,1911502.05,6923.31,172.91,8033.0,8033.0,2646.86,2646.86,0.0,1.0,363.03,196257.0,71247.33,0.0,1.851675133E7,
15393.8,15393.8,1584933.49,15393.8,15393.8,1646508.71,236.65,6337.41,0.0,0.0,1570.05,1570.05,0.0,0.0,190.53,0.0,37393.7,1.0,1.617802406E7,
1840030.82,107756.63,15393.8,15393.8,15393.8,1993968.86,6982.54,172.91,8033.0,8033.0,2648.88,2648.88,0.0,1.0,363.28,196257.0,71296.32,0.0,1.932691139E7,
15393.8,15393.8,1538752.08,15393.8,15393.8,1600327.3,236.65,6213.7,0.0,0.0,1540.55,1540.55,0.0,0.0,187.35,0.0,36768.4,1.0,1.577393671E7,
1787252.06,30787.61,15393.8,15393.8,15393.8,1864221.08,6924.4,172.91,8033.0,8033.0,2566.96,2566.96,0.0,1.0,353.1,196257.0,69298.46,0.0,1.811837468E7,
